index,sido,idx,name,address,latitude,longitude,input_wastes
651,강원특별자치도,973,양양군청소년수련관,강원특별자치도 양양군 양양읍 복개길 23-2,38.07299599,128.617678,"['캔', '투명 페트']"
79,강원특별자치도,121,박수근광장,강원특별자치도 양구군 양구읍 상리 206-64,38.10424288,127.987807,"['캔', '투명 페트']"
411,강원특별자치도,708,도계작은영화관,강원특별자치도 삼척시 도계읍 전두리 58-8,37.22963994,129.0431054,"['캔', '투명 페트']"
412,강원특별자치도,709,사직동 공영주차장,강원특별자치도 삼척시 사직동 302-1,37.43399872,129.1683949,"['캔', '투명 페트']"
429,강원특별자치도,730,효자2동행정복지센터,강원특별자치도 춘천시 효자동 148-31,37.87228604,127.7364338,['투명 페트']
431,강원특별자치도,732,교동행정복지센터,강원특별자치도 춘천시 교동 96-2,37.88029618,127.7362947,['투명 페트']
432,강원특별자치도,733,후평1동행정복지센터,강원특별자치도 춘천시 후평동 713-5,37.8859966,127.745275,['투명 페트']
433,강원특별자치도,734,후평2동행정복지센터,강원특별자치도 춘천시 후평동 792-1,37.87747256,127.7507898,['투명 페트']
434,강원특별자치도,735,동면행정복지센터,강원특별자치도 춘천시 동면 지내리 209-26,37.90997676,127.781427,['투명 페트']
472,강원특별자치도,778,속초시청,강원특별자치도 속초시 중앙로 183,38.2074391,128.5919887,['투명 페트']
473,강원특별자치도,779,노학동행정복지센터,강원특별자치도 속초시 동해대로 4245,38.19708179,128.5763159,['투명 페트']
80,강원특별자치도,122,원주시청 어린이집 맞은편 야외화장실 옆,강원특별자치도 원주시 무실동 1,37.33976658,127.91878,"['캔', '투명 페트']"
474,강원특별자치도,780,속초시립도서관,강원특별자치도 속초시 조양로 89,38.18669022,128.5908863,['투명 페트']
476,강원특별자치도,782,속초해수욕장제2공영주차장,강원특별자치도 속초시 조양동 1450-4,38.1896508,128.6028695,['투명 페트']
62,강원특별자치도,95,남양동행정복지센터,강원특별자치도 삼척시 남양길 11,37.44256446,129.168466,"['캔', '투명 페트']"
61,강원특별자치도,94,성내동행정복지센터,강원특별자치도 삼척시 대학로 57,37.4462153,129.1629288,"['캔', '투명 페트']"
60,강원특별자치도,93,홈플러스삼척점,강원특별자치도 삼척시 중앙로 258 홈플러스,37.4464341,129.1683278,"['캔', '투명 페트']"
59,강원특별자치도,92,삼척시청별관주차장,강원특별자치도 삼척시 교동 695,37.4489282,129.1642743,"['캔', '투명 페트']"
58,강원특별자치도,91,정라동행정복지센터,강원특별자치도 삼척시 새천년도로 16,37.4360724,129.1845269,"['캔', '투명 페트']"
57,강원특별자치도,90,평생학습관,강원특별자치도 삼척시 청석로3길 16-41,37.4490586,129.178091,"['캔', '투명 페트']"
56,강원특별자치도,89,신북읍행정복지센터,강원특별자치도 춘천시 신북읍 율문길 75,37.9258827,127.7462326,"['캔', '투명 페트']"
55,강원특별자치도,88,강남동행정복지관,강원특별자치도 춘천시 온의동 6-37,37.8680384,127.7193904,"['캔', '투명 페트']"
487,강원특별자치도,793,국토정중앙면사무소 옆,강원특별자치도 양구군 국토정중앙면 용하리 416-1,38.10832567,128.0345935,['투명 페트']
475,강원특별자치도,781,엑스포제3공영주차장,강원특별자치도 속초시 조양동 1559-4,38.19126065,128.5851504,['투명 페트']
52,강원특별자치도,84,석사공원,강원특별자치도 춘천시 석사동 731,37.8665881,127.7544093,"['캔', '투명 페트']"
81,강원특별자치도,123,원주시립중앙도서관,강원특별자치도 원주시 단구동 1703,37.32609821,127.9535356,"['캔', '투명 페트']"
83,강원특별자치도,125,기후변화홍보관,강원특별자치도 원주시 행구동 1029,37.34261439,127.9966044,"['캔', '투명 페트']"
183,강원특별자치도,255,구름다리,강원특별자치도 삼척시 교동 728-2,37.44691969,129.1715503,"['캔', '투명 페트']"
184,강원특별자치도,256,봉황공원,강원특별자치도 삼척시 남양동 339-2,37.44145786,129.1701044,"['캔', '투명 페트']"
226,강원특별자치도,300,삼척 문화공원,강원특별자치도 삼척시 성남동 199-5,37.43822775,129.1588266,"['캔', '투명 페트']"
227,강원특별자치도,301,도계공영주차장,강원특별자치도 삼척시 도계읍 강원남부로 1488,37.2373474,129.0437388,"['캔', '투명 페트']"
248,강원특별자치도,523,하나로마트 갈마로점 입구,강원특별자치도 홍천군 홍천읍 갈마곡리 23-33,37.69954917,127.9031242,"['캔', '투명 페트']"
249,강원특별자치도,524,홍천군 종합사회복지관 입구,강원특별자치도 홍천군 홍천읍 진리 10-35,37.69156488,127.8915339,"['캔', '투명 페트']"
250,강원특별자치도,525,연봉도서관 입구,강원특별자치도 홍천군 홍천읍 연봉리 200,37.68205481,127.8747643,['투명 페트']
272,강원특별자치도,552,동면사무소,강원특별자치도 양구군 동면 금강산로 1693,38.20232928,128.0434973,"['캔', '투명 페트']"
273,강원특별자치도,553,국토정중앙면사무소 헬스장,강원특별자치도 양구군 국토정중앙면 삼팔선로 15,38.10825488,128.0347037,"['캔', '투명 페트']"
278,강원특별자치도,563,사내청소년문화의집,강원특별자치도 화천군 사내면 문화마을1길 44,38.06951546,127.5236594,['투명 페트']
82,강원특별자치도,124,젊음의광장,강원특별자치도 원주시 단구로 170,37.33541814,127.9466348,"['캔', '투명 페트']"
279,강원특별자치도,564,간동면사무소,강원특별자치도 화천군 간동면 유촌리 614-1,38.05522568,127.7896,['투명 페트']
348,강원특별자치도,638,태백문화예술회관,강원특별자치도 태백시 고원로 203,37.17210116,128.9884927,"['캔', '투명 페트']"
349,강원특별자치도,639,태백종합운동장,강원특별자치도 태백시 연화산길 10,37.13668144,129.0014931,"['캔', '투명 페트']"
350,강원특별자치도,640,쇠바우골탄광문화장터,강원특별자치도 태백시 동태백로 434,37.11505569,129.0372764,"['캔', '투명 페트']"
93,강원특별자치도,138,퇴계동행정복지센터,강원특별자치도 춘천시 퇴계로 46,37.86448988,127.7262006,"['캔', '투명 페트']"
92,강원특별자치도,137,근화동행정복지센터,강원특별자치도 춘천시 영서로 2487,37.88071482,127.7121788,"['캔', '투명 페트']"
91,강원특별자치도,136,소양동행정복지센터,강원특별자치도 춘천시 금강로 17,37.88224016,127.7247153,"['캔', '투명 페트']"
90,강원특별자치도,135,후평3동행정복지센터,강원특별자치도 춘천시 후만로 83,37.87651828,127.7538517,"['캔', '투명 페트']"
89,강원특별자치도,134,석사동행정복지센터,강원특별자치도 춘천시 후석로 48,37.85852767,127.7423541,"['캔', '투명 페트']"
409,강원특별자치도,706,근덕면 행정복지센터,강원특별자치도 삼척시 근덕면 삼척로 3639,37.37946261,129.2258767,"['캔', '투명 페트']"
84,강원특별자치도,127,자원순환교실,강원특별자치도 삼척시 미로면 강원남부로 3920,37.41128484,129.1068337,"['캔', '투명 페트']"
347,강원특별자치도,637,태백산소드림도서관,강원특별자치도 태백시 황지동 274-7,37.17969844,128.9849792,"['캔', '투명 페트']"
51,강원특별자치도,83,한림대,강원특별자치도 춘천시 한림대학길 1,37.886586,127.7401306,"['캔', '투명 페트']"
410,강원특별자치도,707,원덕읍 행정복지센터,강원특별자치도 삼척시 원덕읍 호산리 244-3,37.17703813,129.3353235,"['캔', '투명 페트']"
580,강원특별자치도,889,원주의료기기테크노밸리,강원특별자치도 원주시 지정면 기업도시로 200,37.37186611,127.8740056,['투명 페트']
596,강원특별자치도,906,인제상남면행정복지센터,강원특별자치도 인제군 상남면 상남로38번길 10,37.87406169,128.2598993,['투명 페트']
595,강원특별자치도,905,현5리경로당,강원특별자치도 인제군 기린면 현리 774-3,37.94767576,128.3150375,['투명 페트']
594,강원특별자치도,904,인제북면행정복지센터,강원특별자치도 인제군 북면 금강로 55,38.12458403,128.2040799,['투명 페트']
634,강원특별자치도,952,DMZ시네마,강원특별자치도 화천군 상서면 산양리 737,38.20981668,127.6627754,"['캔', '투명 페트']"
593,강원특별자치도,903,서화면행정복지센터,강원특별자치도 인제군 서화면 천도리 702-5,38.2181027,128.2079433,['투명 페트']
579,강원특별자치도,888,원주문막생활체육시설,강원특별자치도 원주시 문막읍 문막리 750,37.31176617,127.8235629,['투명 페트']
24,강원특별자치도,42,동내면사무소,강원특별자치도 춘천시 동내면 동내로 78,37.8478551,127.7611148,"['캔', '투명 페트']"
25,강원특별자치도,43,효자1동주민센터,강원특별자치도 춘천시 효자상길 9,37.8721719,127.7275698,"['캔', '투명 페트']"
26,강원특별자치도,44,춘천시청,강원특별자치도 춘천시 시청길 11,37.88056753,127.729611,"['캔', '투명 페트']"
27,강원특별자치도,45,신사우동주민센터,강원특별자치도 춘천시 사우4길 28,37.9059423,127.7278715,"['캔', '투명 페트']"
28,강원특별자치도,46,약사명동주민센터,강원특별자치도 춘천시 망대길 9,37.8765662,127.7248152,"['캔', '투명 페트']"
578,강원특별자치도,887,상지대학교 동악관,강원특별자치도 원주시 상지대길 83,37.37000434,127.927401,['투명 페트']
633,강원특별자치도,951,풍산1리경로당,강원특별자치도 화천군 화천읍 풍산리 761-6,38.1460026,127.7411108,['투명 페트']
577,강원특별자치도,886,태장2동 행정복지센터,강원특별자치도 원주시 흥양로50번길 1,37.38240227,127.9528678,['투명 페트']
576,강원특별자치도,885,원주동부복합체육센터,강원특별자치도 원주시 건강로 73,37.32035887,127.9897389,['투명 페트']
632,강원특별자치도,950,용신밥상 옆,강원특별자치도 화천군 화천읍 신읍리 589-10,38.11589087,127.6995101,['투명 페트']
527,강원특별자치도,834,구문소동행정복지센터,강원특별자치도 태백시 장성동 99-42,37.10011171,129.0220268,['투명 페트']
536,강원특별자치도,843,철원 서면사무소,강원특별자치도 철원군 서면 신술2길 40,38.16468132,127.4157858,['투명 페트']
528,강원특별자치도,835,장성동주민센터,강원특별자치도 태백시 장성동 170-142,37.10045421,129.0085053,['투명 페트']
529,강원특별자치도,836,상장동행정복지센터,강원특별자치도 태백시 태백로 1182,37.15338707,128.9909034,['투명 페트']
530,강원특별자치도,837,통리장공영주차장,강원특별자치도 태백시 통동 산 51-13,37.16818292,129.0365718,['투명 페트']
532,강원특별자치도,839,화촌면행정복지센터,강원특별자치도 홍천군 화촌면 성산로 143,37.77101096,127.9670973,"['캔', '투명 페트']"
531,강원특별자치도,838,홍천남면행정복지센터,강원특별자치도 홍천군 남면 양덕원리 349-17,37.61794715,127.7673085,"['캔', '투명 페트']"
533,강원특별자치도,840,동송읍행정복지센터,강원특별자치도 철원군 동송읍 이평로 141,38.2076467,127.2084393,['투명 페트']
534,강원특별자치도,841,철원읍행정복지센터,강원특별자치도 철원군 철원읍 화지로11번길 40,38.2158795,127.2142178,['투명 페트']
535,강원특별자치도,842,철원군청,강원특별자치도 철원군 갈말읍 삼부연로 51,38.14662989,127.3125093,['투명 페트']
513,강원특별자치도,820,현북면사무소,강원특별자치도 양양군 현북면 하조대1길 41-8,38.01906521,128.7232311,"['캔', '투명 페트']"
195,경기도,268,충훈어린이공원,경기도 안양시 만안구 석수로178번길 28,37.40637849,126.8971173,"['캔', '투명 페트']"
197,경기도,270,안양2동 행정복지센터,경기도 안양시 만안구 안양동 842-2,37.40530771,126.9179608,['투명 페트']
222,경기도,296,수노을공원 주차장 입구,경기도 화성시 새솔동 83,37.28368061,126.817673,"['캔', '투명 페트']"
194,경기도,267,꽃메산어린이공원,경기도 안양시 만안구 석수동 610-10,37.40761791,126.899282,"['캔', '투명 페트']"
221,경기도,295,송린이음터 도서관,경기도 화성시 수노을2로 150,37.27744375,126.8224987,"['캔', '투명 페트']"
196,경기도,269,친목마을,경기도 안양시 만안구 박달동 920-1,37.40711396,126.8851441,"['캔', '투명 페트']"
223,경기도,297,비봉체육공원 화성야구장,경기도 화성시 새솔동 167,37.26304606,126.8456667,"['캔', '투명 페트']"
218,경기도,292,수노을공원 공용화장실,경기도 화성시 꽃내음1길 30,37.28226368,126.8161851,"['캔', '투명 페트']"
198,경기도,271,금강펜테리움,경기도 안양시 동안구 학의로 282,37.40116964,126.9699662,"['캔', '투명 페트']"
219,경기도,293,해오름공원,경기도 화성시 새솔동 15,37.28551054,126.8211672,"['캔', '투명 페트']"
199,경기도,272,센트럴타워,경기도 안양시 만안구 안양동 1403,37.39591365,126.9306083,"['캔', '투명 페트']"
200,경기도,274,만안구청,경기도 안양시 만안구 안양로 128,37.38623564,126.9327231,"['캔', '투명 페트']"
201,경기도,275,꽃동산공원,경기도 안양시 만안구 박달동 94-114,37.40134267,126.9109741,"['캔', '투명 페트']"
217,경기도,291,수노을공원 농구장,경기도 화성시 새솔동 97,37.2807652,126.8173164,"['캔', '투명 페트']"
220,경기도,294,새솔동 행정복지센터,경기도 화성시 새솔동 98,37.28117275,126.8186685,"['캔', '투명 페트']"
216,경기도,290,가온공원,경기도 화성시 새솔동 114,37.27801917,126.8201842,"['캔', '투명 페트']"
498,경기도,804,관양1동행정복지센터,경기도 안양시 동안구 관평로358번길 46,37.40631425,126.9614563,"['캔', '투명 페트']"
192,경기도,265,노송공원,경기도 안양시 만안구 안양동 521-1,37.38631102,126.9306284,"['캔', '투명 페트']"
163,경기도,219,롯데마트 시흥배곧점 1층,경기도 시흥시 서울대학로278번길 67,37.36878541,126.7314632,['투명 페트']
164,경기도,220,롯데마트 영통점 지하2층,경기도 수원시 영통구 봉영로 1579,37.25292507,127.0718022,['투명 페트']
165,경기도,221,롯데마트 안산점 1층,경기도 안산시 상록구 항가울로 422,37.31801042,126.8465021,['투명 페트']
166,경기도,222,롯데마트 상록점 1층,경기도 안산시 상록구 반석로 20,37.296612,126.862076,['투명 페트']
167,경기도,223,롯데마트 광교점 지하1층,경기도 수원시 영통구 센트럴타운로 85,37.29071358,127.0494047,['투명 페트']
174,경기도,230,NS홈쇼핑,경기도 성남시 분당구 판교로228번길 15,37.40181683,127.1016082,"['캔', '투명 페트']"
175,경기도,231,판교환경생태학습원,경기도 성남시 분당구 대왕판교로645번길 21,37.39959119,127.1038176,"['캔', '투명 페트']"
182,경기도,254,설봉공원,경기도 이천시 관고동 356,37.2789632,127.4280371,"['캔', '투명 페트']"
193,경기도,266,종합운동장 수영장,경기도 안양시 동안구 평촌대로 389,37.40652134,126.9491447,"['캔', '투명 페트']"
648,경기도,966,송부동행정복지센터,경기도 군포시 송부로74번길 3-32,37.3162788,126.9236956,['투명 페트']
185,경기도,257,호계3동 행정복지센터,경기도 안양시 동안구 호계동 764-5,37.36766621,126.9587949,"['캔', '투명 페트']"
224,경기도,298,비봉실내체육관,경기도 화성시 비봉면 삼화리 4-8,37.25723734,126.8497536,"['캔', '투명 페트']"
186,경기도,258,농수산물센터 서문,경기도 안양시 동안구 흥안대로 313,37.38182456,126.969494,"['캔', '투명 페트']"
187,경기도,259,농수산물센터 동문,경기도 안양시 동안구 흥안대로 313,37.38184062,126.9706231,"['캔', '투명 페트']"
188,경기도,260,동안구청,경기도 안양시 동안구 비산동 1111,37.39191194,126.9507102,"['캔', '투명 페트']"
189,경기도,261,아르떼웨딩홀,경기도 안양시 동안구 관양동 1753,37.3964828,126.9644682,"['캔', '투명 페트']"
190,경기도,263,안양9동 꿈나눔터,경기도 안양시 만안구 병목안로142번길 8,37.39120695,126.9090353,"['캔', '투명 페트']"
191,경기도,264,갈뫼어린이공원,경기도 안양시 만안구 석수동 295-1,37.41062755,126.9078569,"['캔', '투명 페트']"
647,경기도,965,대야동행정복지센터,경기도 군포시 대야2로 139,37.33025727,126.915515,['투명 페트']
646,경기도,964,군포2동행정복지센터,경기도 군포시 고산로 263,37.34644725,126.9430909,['투명 페트']
635,경기도,953,금정역7번출구,경기도 군포시 산본동 100,37.37265107,126.942453,['투명 페트']
229,경기도,304,미사1동 행정복지센터,경기도 하남시 미사강변남로 59,37.56031593,127.188808,['투명 페트']
602,경기도,912,북한산국립공원 오봉탐방지원센터,경기도 양주시 장흥면 울대리 산 69-2,37.71227749,126.9820441,['투명 페트']
403,경기도,698,수지구청,경기도 용인시 수지구 풍덕천동 791,37.32261972,127.0978742,['투명 페트']
404,경기도,699,동백2동행정복지센터,경기도 용인시 기흥구 동백중앙로 214,37.27252646,127.1514635,['투명 페트']
408,경기도,705,백마고등학교(포인트적립불가),경기도 고양시 일산동구 백석로 155,37.65206208,126.7938657,"['캔', '투명 페트']"
162,경기도,218,롯데마트 오산점 1층,경기도 오산시 경기대로 271,37.14942053,127.073028,['투명 페트']
414,경기도,712,성남동행정복지센터,경기도 성남시 중원구 광명로 91,37.43516366,127.1390705,['투명 페트']
420,경기도,721,덕풍2동행정복지센터,경기도 하남시 덕풍동 693,37.54233107,127.1979252,['투명 페트']
424,경기도,725,덕풍동 도시재생 현장지원센터,경기도 하남시 하남대로833번길 28,37.54159703,127.204373,['투명 페트']
547,경기도,854,회천3동행정복지센터,경기도 양주시 덕정동 206-6,37.83760775,127.0686077,['투명 페트']
546,경기도,853,양주2동행정복지센터,경기도 양주시 고읍로 77,37.79684089,127.08054,['투명 페트']
526,경기도,833,흥선동 에코리움,경기도 의정부시 가능동 678,37.74690312,127.0327798,['투명 페트']
518,경기도,825,청목초등학교(포인트 적립 불가),경기도 화성시 동탄순환대로21길 10,37.1959423,127.1175284,"['캔', '투명 페트']"
509,경기도,816,신성중학교(포인트 적립 불가),경기도 안양시 만안구 소곡로 93,37.38446832,126.9197874,"['캔', '투명 페트']"
507,경기도,814,송산사지근린공원,경기도 의정부시 민락동 878,37.74851433,127.1097932,['투명 페트']
495,경기도,801,양주시 스마트그린포트,경기도 양주시 옥정동 975-1,37.8374901,127.0895191,['투명 페트']
603,경기도,914,관곡어린이공원(제47호),경기도 용인시 기흥구 구갈동 407-1,37.27491868,127.1108353,['투명 페트']
389,경기도,683,중앙예닮학교,경기도 용인시 수지구 포은대로 91-19,37.30240646,127.0705013,"['캔', '투명 페트']"
604,경기도,915,양주시남면행정복지센터,경기도 양주시 남면 개나리17길 6,37.89807018,126.9768657,['투명 페트']
605,경기도,916,백석읍행정복지센터,경기도 양주시 백석읍 중앙로223번길 46,37.7947052,126.9853537,['투명 페트']
230,경기도,305,수내1동 행정복지센터,경기도 성남시 분당구 내정로173번길 21,37.37536315,127.1182001,['투명 페트']
239,경기도,514,오산근린공원,경기도 오산시 오산천로 265,37.15547534,127.0698018,"['캔', '투명 페트']"
240,경기도,515,오산대 맞은편 탄천 화장실 옆,경기도 오산시 청학동 33-4,37.15259796,127.0630956,"['캔', '투명 페트']"
246,경기도,521,회천2동 주민센터 입구,경기도 양주시 덕계동 467-8,37.82167384,127.0466269,['투명 페트']
247,경기도,522,광적면 행정복지센터 근처 쉼터,경기도 양주시 광적면 가납리 848-5,37.82499074,126.9839023,['투명 페트']
644,경기도,962,군포시민체육광장,경기도 군포시 산본로 267,37.35518439,126.9374576,['투명 페트']
643,경기도,961,재궁동 행정복지센터,경기도 군포시 금정동 850-4,37.35845377,126.9391904,['투명 페트']
645,경기도,963,1.2대야송부행정복지센터,경기도 군포시 군포로 531,37.35346744,126.9455856,['투명 페트']
638,경기도,956,궁내동행정복지센터,경기도 군포시 산본동 1148-7,37.35963979,126.9219867,['투명 페트']
637,경기도,955,군포시다함께돌봄센터 광정동점,경기도 군포시 광정로 104,37.36190291,126.9279812,['투명 페트']
636,경기도,954,군포시청,경기도 군포시 청백리길 6,37.36122048,126.9359767,['투명 페트']
496,경기도,802,양주1동행정복지센터,경기도 양주시 외미로64번길 45,37.77336087,127.043932,['투명 페트']
280,경기도,565,신갈동주민자치센터,경기도 용인시 기흥구 신갈로58번길 9,37.2722463,127.1068034,['투명 페트']
324,경기도,613,성남시여성복지회관,경기도 성남시 수정구 산성대로475번길 7,37.45403834,127.1598955,['투명 페트']
326,경기도,615,성남종합운동장,경기도 성남시 중원구 제일로 60,37.43260963,127.1387748,['투명 페트']
336,경기도,625,학운공원,경기도 안양시 동안구 비산동 1100,37.39897905,126.9474501,"['캔', '투명 페트']"
261,경기도,539,Circle(SK가스 충전소),경기도 성남시 분당구 대왕판교로 131,37.35514184,127.1012292,"['캔', '투명 페트']"
158,경기도,214,롯데마트 이천점 정문,경기도 이천시 안흥동 474,37.27419453,127.4546106,['투명 페트']
325,경기도,614,신흥3동행정복지센터,경기도 성남시 수정구 공원로349번길 8,37.4434522,127.1489681,['투명 페트']
